,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0015881061553955078,0.0002983349123882208,0.000969839096069336,0.0001988823365361908,0.01,linear,,"{'C': 0.01, 'kernel': 'linear'}",0.6190476190476191,0.42857142857142855,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.5428571428571429,0.07126966450997985,16
1,0.0014901161193847656,0.0002961971414087158,0.0009242057800292969,0.0002126654487726866,0.1,linear,,"{'C': 0.1, 'kernel': 'linear'}",0.6666666666666666,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.7142857142857143,0.6095238095238096,0.07619047619047618,7
2,0.0018517494201660157,0.00043331240734404,0.0008741378784179688,6.475136093441308e-05,1,linear,,"{'C': 1, 'kernel': 'linear'}",0.7142857142857143,0.6190476190476191,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.6095238095238096,0.12196427118919712,7
3,0.004121637344360352,0.0007185413174511005,0.0009934425354003907,0.00012368225703855777,10,linear,,"{'C': 10, 'kernel': 'linear'}",0.7142857142857143,0.6190476190476191,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.6000000000000001,0.11106575037800573,9
4,0.0013815879821777344,2.0793271479070424e-05,0.0008919239044189453,6.852865015892634e-05,0.01,rbf,0.01,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.6666666666666666,0.5238095238095238,0.6190476190476191,0.47619047619047616,0.47619047619047616,0.5523809523809524,0.0773717943298663,13
5,0.0014116287231445313,4.554566223163581e-05,0.0009277820587158203,7.486944721149598e-05,0.01,rbf,0.1,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.7142857142857143,0.6190476190476191,0.42857142857142855,0.47619047619047616,0.47619047619047616,0.5428571428571429,0.10690449676496977,16
6,0.0014226436614990234,4.236611610649334e-05,0.00092620849609375,8.764993349012275e-05,0.01,rbf,1,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.6190476190476191,0.7142857142857143,0.6666666666666666,0.47619047619047616,0.47619047619047616,0.5904761904761905,0.0980536203903524,11
7,0.0014356613159179688,4.91055693911708e-05,0.000880575180053711,2.2547188427307404e-05,0.01,rbf,10,"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",0.47619047619047616,0.6666666666666666,0.5714285714285714,0.47619047619047616,0.47619047619047616,0.5333333333333333,0.07619047619047618,19
8,0.0014019012451171875,6.341306755749386e-05,0.00086517333984375,8.234799631089365e-06,0.1,rbf,0.01,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6666666666666666,0.5238095238095238,0.6190476190476191,0.47619047619047616,0.47619047619047616,0.5523809523809524,0.0773717943298663,13
9,0.0015279769897460938,0.0002179057851973545,0.0009666919708251953,0.00017419257552400846,0.1,rbf,0.1,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7142857142857143,0.6190476190476191,0.42857142857142855,0.47619047619047616,0.47619047619047616,0.5428571428571429,0.10690449676496977,16
10,0.0019406795501708985,3.779769979588014e-05,0.0012633800506591797,3.127484735409105e-05,0.1,rbf,1,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.6190476190476191,0.7142857142857143,0.6666666666666666,0.47619047619047616,0.47619047619047616,0.5904761904761905,0.0980536203903524,11
11,0.002010822296142578,5.1348742463105676e-05,0.001280975341796875,6.0859890469152734e-05,0.1,rbf,10,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.47619047619047616,0.6666666666666666,0.5714285714285714,0.47619047619047616,0.47619047619047616,0.5333333333333333,0.07619047619047618,19
12,0.00189208984375,6.747338459470332e-05,0.0012495994567871093,5.568335204406916e-05,1,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6666666666666666,0.42857142857142855,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.5523809523809524,0.08302664654363189,13
13,0.00192718505859375,9.429331524280586e-05,0.0012535572052001954,3.3026059650648636e-05,1,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8095238095238095,0.6666666666666666,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.6571428571428571,0.08192690730516787,4
14,0.0018195629119873047,0.0003374346968788144,0.0009535312652587891,4.9725359861900426e-05,1,rbf,1,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8095238095238095,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.780952380952381,0.07737179432986628,2
15,0.0017538070678710938,0.00015521089785240852,0.0010947704315185547,0.00014286166993977,1,rbf,10,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.5714285714285714,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.6476190476190476,0.06459361888690733,5
16,0.0017356395721435547,0.0002839434314017038,0.0012523651123046875,0.0003168220836598097,10,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.7142857142857143,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.6666666666666666,0.5999999999999999,0.07737179432986628,10
17,0.0034354209899902345,0.0020382616050023065,0.0017896652221679687,0.001199613524162811,10,rbf,0.1,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8095238095238095,0.8095238095238095,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.6761904761904761,0.11024606574085931,3
18,0.0023012638092041017,0.00040802968165520653,0.0012736797332763671,0.00029142379542281547,10,rbf,1,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8571428571428571,0.9047619047619048,0.9523809523809523,0.7619047619047619,0.7142857142857143,0.8380952380952381,0.08832017614757812,1
19,0.0024219036102294924,0.0005225222701084768,0.0014198780059814452,0.0002716639091615418,10,rbf,10,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.5714285714285714,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.6476190476190476,0.06459361888690733,5
