,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0029749393463134764,0.00036101521690702713,0.00208587646484375,0.00013264264176314716,gini,4,"{'criterion': 'gini', 'max_depth': 4}",0.5714285714285714,0.6190476190476191,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.07968190728895957,17
1,0.003108644485473633,0.000796839842906635,0.002684926986694336,0.0008777887959011535,gini,5,"{'criterion': 'gini', 'max_depth': 5}",0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.7142857142857143,0.5809523809523809,0.07619047619047618,16
2,0.004145097732543945,0.000155733614259429,0.0030143260955810547,0.0003458716887859043,gini,6,"{'criterion': 'gini', 'max_depth': 6}",0.5714285714285714,0.6666666666666666,0.5238095238095238,0.8095238095238095,0.5714285714285714,0.6285714285714284,0.10168645954315535,9
3,0.0032107353210449217,0.0004499147322253399,0.0023180961608886717,0.00026958984714387624,gini,7,"{'criterion': 'gini', 'max_depth': 7}",0.5238095238095238,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6285714285714286,0.06317380553057904,7
4,0.002685403823852539,0.0002207133697720862,0.0019852638244628905,0.0003976702230926257,gini,8,"{'criterion': 'gini', 'max_depth': 8}",0.6190476190476191,0.7142857142857143,0.47619047619047616,0.8095238095238095,0.5238095238095238,0.6285714285714287,0.12196427118919713,6
5,0.0035404205322265626,0.00014931891987346612,0.0024348735809326173,0.00019985397253784043,gini,9,"{'criterion': 'gini', 'max_depth': 9}",0.6190476190476191,0.7142857142857143,0.38095238095238093,0.7619047619047619,0.5714285714285714,0.6095238095238095,0.13265131692556303,13
6,0.003149747848510742,0.0004300643208140628,0.0021465778350830077,0.0003240139401802778,gini,10,"{'criterion': 'gini', 'max_depth': 10}",0.5714285714285714,0.6666666666666666,0.47619047619047616,0.7142857142857143,0.5714285714285714,0.6,0.0830266465436319,15
7,0.0030811786651611327,0.0006222278315862164,0.0022518157958984373,0.0004199517711231187,gini,11,"{'criterion': 'gini', 'max_depth': 11}",0.6190476190476191,0.7142857142857143,0.47619047619047616,0.7142857142857143,0.5238095238095238,0.6095238095238096,0.09712418121129116,12
8,0.003184080123901367,0.0004028238355279713,0.002399110794067383,0.00035212319465507735,gini,12,"{'criterion': 'gini', 'max_depth': 12}",0.6190476190476191,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.6095238095238095,0.10605265453009569,13
9,0.002504777908325195,0.0005937045132106085,0.0015341281890869141,7.461924119250054e-05,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.42857142857142855,0.5619047619047619,0.07619047619047618,18
10,0.0022762298583984377,2.7710106403960493e-05,0.0015220165252685547,7.308692668415377e-05,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",0.6666666666666666,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.5714285714285714,0.6380952380952382,0.0773717943298663,5
11,0.002397632598876953,7.34203191568491e-05,0.00146331787109375,3.0599647676006925e-05,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",0.6666666666666666,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.47619047619047616,0.6190476190476191,0.085183541999992,10
12,0.0024158000946044923,0.00011251301901081375,0.0014910697937011719,3.062356485397496e-05,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",0.6666666666666666,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.47619047619047616,0.6761904761904762,0.10605265453009566,3
13,0.0023584842681884767,0.00011572960623839036,0.0014451503753662109,1.9731265785915217e-05,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",0.5714285714285714,0.7619047619047619,0.5714285714285714,0.7142857142857143,0.5238095238095238,0.6285714285714286,0.09233675918888246,7
14,0.0023801326751708984,7.43121300165216e-05,0.0014648914337158203,6.458290638611479e-05,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",0.6666666666666666,0.7619047619047619,0.6666666666666666,0.7619047619047619,0.5714285714285714,0.6857142857142856,0.07126966450997983,2
15,0.0023761272430419924,4.157500497052193e-05,0.0014783382415771485,5.649697368585473e-05,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",0.6190476190476191,0.7619047619047619,0.8095238095238095,0.7142857142857143,0.47619047619047616,0.6761904761904762,0.11818736805705578,3
16,0.0023470401763916017,8.996963197709338e-05,0.0014692306518554687,2.1817371395138064e-05,entropy,11,"{'criterion': 'entropy', 'max_depth': 11}",0.7142857142857143,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.5714285714285714,0.7047619047619047,0.06998542122237653,1
17,0.0024127960205078125,0.00011550340566318346,0.001514101028442383,9.380874021362551e-05,entropy,12,"{'criterion': 'entropy', 'max_depth': 12}",0.5714285714285714,0.7619047619047619,0.6190476190476191,0.6190476190476191,0.5238095238095238,0.619047619047619,0.07968190728895956,11
