,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.28209896087646485,0.0003752012624542952,0.020891571044921876,6.160924306303126e-05,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.5714285714285714,0.8571428571428571,0.6190476190476191,0.8571428571428571,0.7142857142857143,0.7238095238095238,0.11818736805705575,17
1,0.7073149681091309,0.0006512710439936157,0.051137113571166994,9.881069250233313e-05,gini,4,sqrt,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.5714285714285714,0.8571428571428571,0.7142857142857143,0.9047619047619048,0.7142857142857143,0.7523809523809524,0.11818736805705578,5
2,0.28272294998168945,0.0005319679624779465,0.021091747283935546,0.00016860293034193154,gini,4,log2,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.6190476190476191,0.8571428571428571,0.6190476190476191,0.8571428571428571,0.7142857142857143,0.7333333333333334,0.10690449676496973,12
3,0.706532335281372,0.001459923759065511,0.051076650619506836,0.00021719359401841146,gini,4,log2,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.6666666666666666,0.8571428571428571,0.6190476190476191,0.7619047619047619,0.7142857142857143,0.7238095238095238,0.08192690730516786,17
4,0.2852619171142578,0.0013983161117845726,0.02099742889404297,0.00013123010818873087,gini,6,sqrt,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",0.6190476190476191,0.7619047619047619,0.6666666666666666,0.8095238095238095,0.7142857142857143,0.7142857142857142,0.06734350297014738,22
5,0.7316230773925781,0.03496631376045348,0.05126795768737793,0.0014998852863534569,gini,6,sqrt,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",0.6190476190476191,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7428571428571429,0.09805362039035236,9
6,0.439682674407959,0.11639576142480175,0.03071303367614746,0.005762469820595974,gini,6,log2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.6666666666666666,0.9047619047619048,0.6190476190476191,0.8095238095238095,0.7619047619047619,0.7523809523809524,0.10168645954315535,5
7,0.9449447154998779,0.11028156623503056,0.061383962631225586,0.0064853532770914185,gini,6,log2,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 500}",0.6666666666666666,0.8571428571428571,0.6190476190476191,0.7619047619047619,0.7142857142857143,0.7238095238095238,0.08192690730516786,17
8,0.3107759952545166,0.025705235134425235,0.02259230613708496,0.003044433017569721,gini,8,sqrt,200,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",0.6666666666666666,0.9047619047619048,0.7142857142857143,0.8571428571428571,0.7619047619047619,0.780952380952381,0.08832017614757814,1
9,1.0790419101715087,0.2891917914709615,0.07615976333618164,0.02126751846505025,gini,8,sqrt,500,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 500}",0.6666666666666666,0.9047619047619048,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.761904761904762,0.09988655696858587,4
10,0.3162684917449951,0.03541780025509772,0.02165069580078125,0.0007773512726070368,gini,8,log2,200,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",0.6190476190476191,0.8571428571428571,0.6190476190476191,0.7619047619047619,0.7619047619047619,0.7238095238095238,0.09233675918888243,17
11,0.902934455871582,0.11855705035902692,0.05702786445617676,0.006802422259608428,gini,8,log2,500,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 500}",0.6666666666666666,0.9523809523809523,0.6666666666666666,0.9047619047619048,0.7142857142857143,0.780952380952381,0.1227057021592869,1
12,0.36125850677490234,0.03955013267911484,0.026236295700073242,0.0038437895230001616,entropy,4,sqrt,200,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.6190476190476191,0.9047619047619048,0.6190476190476191,0.8571428571428571,0.6666666666666666,0.7333333333333333,0.1227057021592869,14
13,1.1426395893096923,0.23605254879515522,0.06872200965881348,0.018564635550462404,entropy,4,sqrt,500,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.6190476190476191,0.8095238095238095,0.6190476190476191,0.8571428571428571,0.7142857142857143,0.7238095238095238,0.09712418121129113,17
14,0.6233104705810547,0.05996116651622042,0.041148710250854495,0.007668525825370933,entropy,4,log2,200,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.6666666666666666,0.8571428571428571,0.5714285714285714,0.7619047619047619,0.7142857142857143,0.7142857142857142,0.09523809523809523,22
15,1.623752737045288,0.3449945720581575,0.10590076446533203,0.028064139312617392,entropy,4,log2,500,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.6666666666666666,0.8571428571428571,0.6190476190476191,0.8095238095238095,0.7619047619047619,0.7428571428571429,0.08832017614757812,9
