,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.37810792922973635,0.03163754913404857,0.02768416404724121,0.004195917274890797,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.6666666666666666,0.9047619047619048,0.6666666666666666,0.8095238095238095,0.6666666666666666,0.7428571428571428,0.09805362039035241,14
1,0.7410586833953857,0.050382369097800285,0.05653748512268066,0.010081609224161002,gini,4,sqrt,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.6666666666666666,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7619047619047619,0.08518354199999198,6
2,0.28316702842712405,0.002415344766469048,0.021920108795166017,0.00041255163356302267,gini,4,log2,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.6190476190476191,0.9047619047619048,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.7333333333333333,0.09805362039035238,18
3,0.7010919570922851,0.0013899561829214047,0.051227664947509764,0.00012443664758924618,gini,4,log2,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.5714285714285714,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7333333333333333,0.11106575037800571,18
4,0.28664889335632326,0.0030224480353598176,0.021825885772705077,6.734345373314766e-05,gini,6,sqrt,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",0.6190476190476191,0.9523809523809523,0.7619047619047619,0.9047619047619048,0.6190476190476191,0.7714285714285714,0.1393213222697885,5
5,0.7056569576263427,0.0015037280539698693,0.051567459106445314,0.00010995813172773875,gini,6,sqrt,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",0.6190476190476191,0.8571428571428571,0.6666666666666666,0.8095238095238095,0.7142857142857143,0.7333333333333334,0.08832017614757812,15
6,0.2830989360809326,0.00037945120947057467,0.02180166244506836,0.00011411784185960241,gini,6,log2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.5714285714285714,0.8571428571428571,0.6190476190476191,0.8571428571428571,0.7142857142857143,0.7238095238095238,0.11818736805705575,21
7,0.7079978942871094,0.00437900098815288,0.051654052734375,0.0003871975097325143,gini,6,log2,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 500}",0.6666666666666666,0.9047619047619048,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.7523809523809524,0.10605265453009567,9
8,0.2858314514160156,0.0011601879811121913,0.021830034255981446,7.254061485193851e-05,gini,8,sqrt,200,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",0.7142857142857143,0.9523809523809523,0.6666666666666666,0.9047619047619048,0.7142857142857143,0.7904761904761904,0.11507662831994829,2
9,0.712848711013794,0.011811379895201935,0.05222406387329102,0.0012544863251260077,gini,8,sqrt,500,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 500}",0.6190476190476191,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7523809523809525,0.09233675918888243,8
10,0.3357664108276367,0.03712032585582743,0.025388145446777345,0.005939456107618444,gini,8,log2,200,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",0.7142857142857143,0.9523809523809523,0.7142857142857143,0.9047619047619048,0.6666666666666666,0.7904761904761904,0.11507662831994829,2
11,0.8036747455596924,0.09895777763540689,0.059779119491577146,0.008764682110323947,gini,8,log2,500,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 500}",0.6190476190476191,0.9047619047619048,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7523809523809524,0.11024606574085928,9
12,0.3131135940551758,0.014438683572871947,0.02242412567138672,0.0006363595203197,entropy,4,sqrt,200,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.6190476190476191,0.7619047619047619,0.7619047619047619,0.8571428571428571,0.7142857142857143,0.7428571428571429,0.07737179432986627,13
13,0.7540128707885743,0.04443080017327129,0.05212044715881348,0.0003591995037912833,entropy,4,sqrt,500,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.6190476190476191,0.8095238095238095,0.6190476190476191,0.8095238095238095,0.6666666666666666,0.7047619047619047,0.08728715609439695,24
14,0.33567004203796386,0.03095086500089296,0.028506374359130858,0.007810939205897952,entropy,4,log2,200,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.6666666666666666,0.9047619047619048,0.5714285714285714,0.8095238095238095,0.7142857142857143,0.7333333333333334,0.11507662831994832,15
15,0.7571750164031983,0.026744439879674706,0.053182220458984374,0.0021565452235842598,entropy,4,log2,500,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.6666666666666666,0.7142857142857143,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7238095238095238,0.06998542122237651,21
