,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0018713951110839843,0.0005296946038713463,0.001027965545654297,0.00028229124640349087,gini,4,"{'criterion': 'gini', 'max_depth': 4}",0.5714285714285714,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6095238095238095,0.03563483225498992,12
1,0.0015059471130371093,0.00013917908727976557,0.0009381771087646484,0.00017847849855060519,gini,5,"{'criterion': 'gini', 'max_depth': 5}",0.5714285714285714,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.6190476190476191,0.5809523809523809,0.03563483225498992,17
2,0.0013701915740966797,4.795853575030787e-05,0.0008274555206298828,0.00012251593789751653,gini,6,"{'criterion': 'gini', 'max_depth': 6}",0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.6571428571428571,0.04665694748158436,4
3,0.0016407489776611329,0.0003901831285561722,0.0011793613433837891,0.00037678423706123687,gini,7,"{'criterion': 'gini', 'max_depth': 7}",0.5714285714285714,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5904761904761905,0.03809523809523809,16
4,0.0024015426635742186,0.0002680741183992497,0.00137176513671875,9.160668551734676e-05,gini,8,"{'criterion': 'gini', 'max_depth': 8}",0.6190476190476191,0.7142857142857143,0.47619047619047616,0.6666666666666666,0.5714285714285714,0.6095238095238095,0.08192690730516788,12
5,0.0022499561309814453,0.00024735363988315695,0.0013264179229736327,0.00013301830425746728,gini,9,"{'criterion': 'gini', 'max_depth': 9}",0.6190476190476191,0.7142857142857143,0.5238095238095238,0.6666666666666666,0.6666666666666666,0.638095238095238,0.0645936188869073,7
6,0.002260160446166992,0.0003621463604306999,0.001355886459350586,0.00030633315769126266,gini,10,"{'criterion': 'gini', 'max_depth': 10}",0.6190476190476191,0.7619047619047619,0.42857142857142855,0.7619047619047619,0.6190476190476191,0.638095238095238,0.1227057021592869,7
7,0.0028070926666259764,0.00029600944695012287,0.002109813690185547,0.0005428505585527923,gini,11,"{'criterion': 'gini', 'max_depth': 11}",0.6190476190476191,0.6190476190476191,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.6095238095238096,0.019047619047619067,11
8,0.0016208648681640624,0.00031916661960206005,0.0009249210357666016,0.00019612901833186377,gini,12,"{'criterion': 'gini', 'max_depth': 12}",0.6666666666666666,0.6666666666666666,0.47619047619047616,0.5714285714285714,0.6190476190476191,0.5999999999999999,0.07126966450997983,15
9,0.001540231704711914,7.070602738819368e-05,0.0008676052093505859,0.00013891593085334182,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",0.6190476190476191,0.5714285714285714,0.5238095238095238,0.6666666666666666,0.42857142857142855,0.5619047619047619,0.08192690730516787,18
10,0.001672077178955078,0.00014331986302187108,0.0008664131164550781,0.00013662844974292237,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",0.6190476190476191,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.47619047619047616,0.6095238095238095,0.08192690730516788,12
11,0.0015992164611816407,0.0001766491247769288,0.0008416175842285156,0.00010472032302024666,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",0.6666666666666666,0.7619047619047619,0.6190476190476191,0.47619047619047616,0.5714285714285714,0.619047619047619,0.09523809523809523,10
12,0.0015126705169677735,5.379107813235314e-05,0.000777578353881836,5.4707500353354164e-05,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",0.6190476190476191,0.7619047619047619,0.6666666666666666,0.6190476190476191,0.47619047619047616,0.6285714285714286,0.09233675918888244,9
13,0.0015480518341064453,5.546602127054591e-05,0.0007782936096191406,5.73648379672408e-05,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",0.7142857142857143,0.7619047619047619,0.6190476190476191,0.7619047619047619,0.47619047619047616,0.6666666666666667,0.10858813572372741,1
14,0.001523876190185547,5.8568454475317195e-05,0.0007882118225097656,7.795857350557911e-05,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",0.6190476190476191,0.7619047619047619,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.06734350297014738,2
15,0.0015632152557373048,5.134533276824846e-05,0.0009034156799316406,0.000209976551517025,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",0.6190476190476191,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.47619047619047616,0.6571428571428573,0.10168645954315535,3
16,0.0015707969665527343,0.00012195548229614786,0.0008158683776855469,0.00010107125711881911,entropy,11,"{'criterion': 'entropy', 'max_depth': 11}",0.7142857142857143,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.47619047619047616,0.6571428571428571,0.09712418121129116,4
17,0.0017252922058105468,0.00024354910531227325,0.0009175300598144531,0.0001284455926450923,entropy,12,"{'criterion': 'entropy', 'max_depth': 12}",0.5714285714285714,0.7619047619047619,0.6190476190476191,0.7142857142857143,0.5714285714285714,0.6476190476190476,0.07737179432986628,6
